wavelength,D_C,D_M,D_Y,D_min
380,0.3947,0.0628,0.1994,0.8296
385,0.3947,0.0628,0.1994,0.8296
390,0.3474,0.0569,0.2858,0.8296
395,0.3037,0.0516,0.3704,0.8296
400,0.2615,0.0473,0.4576,0.8296
405,0.2172,0.0439,0.5504,0.8296
410,0.1687,0.0408,0.6485,0.8495
415,0.1170,0.0368,0.7490,0.8904
420,0.0665,0.0307,0.8489,0.9314
425,0.0227,0.0217,0.9443,0.9645
430,0.0000,0.0093,1.0310,0.9861
435,0.0000,0.0000,1.1041,0.9962
440,0.0000,0.0000,1.1594,0.9952
445,0.0000,0.0000,1.1943,0.9835
450,0.0000,0.0000,1.2071,0.9660
455,0.0000,0.0000,1.1963,0.9446
460,0.0000,0.0000,1.1610,0.9184
465,0.0140,0.0000,1.1014,0.8891
470,0.0281,0.0261,1.0193,0.8574
475,0.0395,0.0862,0.9180,0.8240
480,0.0478,0.1674,0.8024,0.7893
485,0.0528,0.2678,0.6780,0.7546
490,0.0549,0.3842,0.5505,0.7226
495,0.0550,0.5121,0.4247,0.7009
500,0.0534,0.6454,0.3059,0.6883
505,0.0505,0.7775,0.1998,0.6839
510,0.0462,0.9028,0.1110,0.6758
515,0.0404,1.0168,0.0428,0.6624
520,0.0327,1.1160,0.0000,0.6399
525,0.0227,1.1973,0.0000,0.6216
530,0.0105,1.2568,0.0000,0.6102
535,0.0000,1.2904,0.0000,0.6026
540,0.0000,1.2956,0.0000,0.5971
545,0.0000,1.2728,0.0000,0.5919
550,0.0000,1.2243,0.0000,0.5861
555,0.0000,1.1528,0.0057,0.5786
560,0.0000,1.0611,0.0135,0.5678
565,0.0000,0.9534,0.0183,0.5519
570,0.0168,0.8357,0.0207,0.5284
575,0.0598,0.7155,0.0213,0.4945
580,0.1136,0.6004,0.0210,0.4480
585,0.1767,0.4955,0.0202,0.3915
590,0.2463,0.4032,0.0195,0.3347
595,0.3195,0.3243,0.0189,0.2867
600,0.3933,0.2589,0.0182,0.2505
605,0.4660,0.2059,0.0170,0.2265
610,0.5371,0.1636,0.0150,0.2125
615,0.6070,0.1297,0.0124,0.2056
620,0.6758,0.1017,0.0094,0.2025
625,0.7435,0.0784,0.0066,0.2023
630,0.8103,0.0590,0.0045,0.2042
635,0.8764,0.0428,0.0032,0.2071
640,0.9421,0.0292,0.0024,0.2108
645,1.0070,0.0176,0.0019,0.2155
650,1.0703,0.0074,0.0015,0.2205
655,1.1314,0.0000,0.0011,0.2260
660,1.1898,0.0000,0.0008,0.2312
665,1.2446,0.0000,0.0005,0.2367
670,1.2942,0.0000,0.0003,0.2417
675,1.3362,0.0000,0.0001,0.2462
680,1.3689,0.0000,0.0000,0.2495
685,1.3919,0.0000,0.0000,0.2526
690,1.4055,0.0000,0.0000,0.2549
695,1.4097,0.0000,0.0000,0.2546
700,1.4029,0.0000,0.0000,0.2546
705,1.3832,0.0000,0.0000,0.2546
710,1.3494,0.0000,0.0000,0.2546
715,1.3020,0.0000,0.0000,0.2546
720,1.2429,0.0000,0.0000,0.2546
725,1.1747,0.0000,0.0000,0.2546
730,1.0998,0.0000,0.0001,0.2546
