wavelength,power
380,75.3348
385,77.1784
390,78.9530
395,80.6572
400,82.2899
405,83.8501
410,85.3374
415,86.7514
420,88.0920
425,89.3594
430,90.5540
435,91.6763
440,92.7271
445,93.7071
450,94.6174
455,95.4592
460,96.2336
465,96.9421
470,97.5859
475,98.1667
480,98.6860
485,99.1453
490,99.5464
495,99.8908
500,100.1804
505,100.4168
510,100.6017
515,100.7369
520,100.8242
525,100.8652
530,100.8617
535,100.8154
540,100.7280
545,100.6011
550,100.4364
555,100.2355
560,100.0000
565,99.7314
570,99.4313
575,99.1011
580,98.7423
585,98.3564
590,97.9446
595,97.5083
600,97.0489
605,96.5676
610,96.0656
615,95.5442
620,95.0044
625,94.4474
630,93.8742
635,93.2860
640,92.6836
645,92.0682
650,91.4405
655,90.8015
660,90.1521
665,89.4931
670,88.8253
675,88.1494
680,87.4663
685,86.7765
690,86.0808
695,85.3798
700,84.6742
705,83.9645
710,83.2512
715,82.5351
720,81.8164
725,81.0959
730,80.3738
